study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,19,patrick,10.0,10,m,chimpanzee,3,9.0,,,spoon,right,yes,yes
kirchhofer2012dogs,2008,03,19,patrick,10.0,10,m,chimpanzee,,10.0,,,rope,right,no,
kirchhofer2012dogs,2008,03,19,patrick,10.0,10,m,chimpanzee,,11.0,,,pvc,left,no,
kirchhofer2012dogs,2008,03,19,patrick,10.0,10,m,chimpanzee,,12.0,,,cup,left,yes,yes
kirchhofer2012dogs,2008,03,25,patrick,10.0,10,m,chimpanzee,4,13.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,03,25,patrick,10.0,10,m,chimpanzee,,14.0,,,black_hose,right,yes,yes
kirchhofer2012dogs,2008,03,25,patrick,10.0,10,m,chimpanzee,,15.0,,,scraper,right,no,
kirchhofer2012dogs,2008,03,25,patrick,10.0,10,m,chimpanzee,,16.0,,,rope,left,yes,yes
kirchhofer2012dogs,2008,03,13,pia,8.0,8,f,chimpanzee,1,1.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,03,13,pia,8.0,8,f,chimpanzee,,2.0,,,cup,right,yes,yes
kirchhofer2012dogs,2008,03,17,pia,8.0,8,f,chimpanzee,2,3.0,,,scraper,left,no,no
kirchhofer2012dogs,2008,03,17,pia,8.0,8,f,chimpanzee,,4.0,,,green_hose,left,no,no
kirchhofer2012dogs,2008,03,17,pia,8.0,8,f,chimpanzee,,5.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,03,17,pia,8.0,8,f,chimpanzee,,6.0,,,black_hose,right,no,no
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,3,7.0,,,black_hose,left,no,
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,,8.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,,9.0,,,green_hose,right,yes,no
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,,10.0,,,spoon,left,no,
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,,11.0,,,rope,left,yes,yes
kirchhofer2012dogs,2008,03,18,pia,8.0,8,f,chimpanzee,,12.0,excluded,a1,spoon,right,yes,
kirchhofer2012dogs,2008,03,19,pia,8.0,8,f,chimpanzee,4,13.0,,,rope,right,yes,yes
kirchhofer2012dogs,2008,03,19,pia,8.0,8,f,chimpanzee,,14.0,,,scraper,right,yes,yes
