study_id,participant,age_in_years,sex,species,session,trial,trial_type,safe_choice,side
heilbronner2008fruit,joey,24,m,bonobo,1,10,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,11,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,12,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,13,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,14,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,15,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,16,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,1,17,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,18,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,19,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,1,20,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,1,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,2,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,3,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,4,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,5,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,6,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,7,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,8,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,9,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,10,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,11,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,12,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,13,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,14,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,15,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,2,16,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,17,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,18,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,19,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,2,20,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,1,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,2,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,3,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,4,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,5,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,6,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,7,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,8,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,9,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,10,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,3,11,c,0.0,
heilbronner2008fruit,joey,24,m,bonobo,3,12,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,13,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,14,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,15,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,16,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,17,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,18,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,19,c,1.0,
heilbronner2008fruit,joey,24,m,bonobo,3,20,c,1.0,
heilbronner2008fruit,kuno,9,m,bonobo,1,1,f,,r
heilbronner2008fruit,kuno,9,m,bonobo,1,2,n,,l
heilbronner2008fruit,kuno,9,m,bonobo,1,3,c,0.0,r
heilbronner2008fruit,kuno,9,m,bonobo,1,4,n,,l
heilbronner2008fruit,kuno,9,m,bonobo,1,5,f,,r
heilbronner2008fruit,kuno,9,m,bonobo,1,6,c,0.0,r
heilbronner2008fruit,kuno,9,m,bonobo,1,7,n,,r
heilbronner2008fruit,kuno,9,m,bonobo,1,8,c,0.0,l
heilbronner2008fruit,kuno,9,m,bonobo,1,9,n,,l
