study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,condition,point,latency,away,scratch,rock_lip_bang,eat,touch,ignore,time,latency_percentage,scratch_yes,point_yes
brauer2006apes,brent,m,focal_participant,jahaga,f,competitor,chimpanzee,brent_jahaga,nosoc-dif,2.0,62.0,1.0,0.0,0.0,0.0,6.0,2.0,67.0,0.9253731343283582,0.0,1.0
brauer2006apes,natascha,f,focal_participant,fraukje,f,competitor,chimpanzee,natascha_fraukje,nosoc-dif,0.0,77.0,1.0,0.0,0.0,0.0,0.0,8.0,82.0,0.9390243902439024,0.0,0.0
brauer2006apes,natascha,f,focal_participant,fraukje,f,competitor,chimpanzee,natascha_fraukje,nosoc-sam,0.0,72.0,1.0,1.0,0.0,0.0,0.0,8.0,82.0,0.8780487804878049,1.0,0.0
brauer2006apes,natascha,f,focal_participant,fraukje,f,competitor,chimpanzee,natascha_fraukje,soc-sam,0.0,81.0,1.0,0.0,0.0,0.0,0.0,8.0,81.0,1.0,0.0,0.0
brauer2006apes,natascha,f,focal_participant,fraukje,f,competitor,chimpanzee,natascha_fraukje,soc-dif,0.0,76.0,1.0,0.0,0.0,0.0,0.0,8.0,76.0,1.0,0.0,0.0
brauer2006apes,fraukje,f,focal_participant,natascha,f,competitor,chimpanzee,fraukje_natascha,soc-sam,7.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,85.0,0.0,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,natascha,f,competitor,chimpanzee,fraukje_natascha,soc-dif,14.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,80.0,0.0,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,natascha,f,competitor,chimpanzee,fraukje_natascha,nosoc-sam,5.0,23.0,1.0,1.0,1.0,2.0,0.0,6.0,78.0,0.2948717948717949,1.0,1.0
brauer2006apes,fraukje,f,focal_participant,natascha,f,competitor,chimpanzee,fraukje_natascha,nosoc-dif,7.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,70.0,0.0,1.0,1.0
brauer2006apes,patrick,m,focal_participant,fraukje,f,competitor,chimpanzee,patrick_fraukje,nosoc-dif,4.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,75.0,0.10666666666666667,0.0,1.0
brauer2006apes,patrick,m,focal_participant,fraukje,f,competitor,chimpanzee,patrick_fraukje,nosoc-sam,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,70.0,0.0,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,patrick,m,competitor,chimpanzee,fraukje_patrick,soc-dif,1.0,40.0,0.0,0.0,1.0,0.0,2.0,6.0,80.0,0.5,0.0,1.0
brauer2006apes,patrick,m,focal_participant,fraukje,f,competitor,chimpanzee,patrick_fraukje,soc-sam,1.0,25.0,1.0,0.0,0.0,7.0,1.0,0.0,79.0,0.31645569620253167,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,patrick,m,competitor,chimpanzee,fraukje_patrick,soc-sam,0.0,71.0,1.0,0.0,0.0,1.0,0.0,7.0,75.0,0.9466666666666667,0.0,0.0
brauer2006apes,patrick,m,focal_participant,fraukje,f,competitor,chimpanzee,patrick_fraukje,soc-dif,5.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,76.0,0.05263157894736842,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,patrick,m,competitor,chimpanzee,fraukje_patrick,nosoc-dif,1.0,36.0,1.0,0.0,1.0,0.0,0.0,8.0,77.0,0.4675324675324675,0.0,1.0
brauer2006apes,fraukje,f,focal_participant,patrick,m,competitor,chimpanzee,fraukje_patrick,nosoc-sam,2.0,41.0,1.0,0.0,1.0,1.0,1.0,6.0,71.0,0.5774647887323944,0.0,1.0
brauer2006apes,frodo,m,focal_participant,corry,f,competitor,chimpanzee,frodo_corry,soc-sam,3.0,13.0,1.0,6.0,0.0,8.0,0.0,0.0,89.0,0.14606741573033707,1.0,1.0
brauer2006apes,corry,f,focal_participant,frodo,m,competitor,chimpanzee,corry_frodo,soc-dif,1.0,57.0,1.0,0.0,1.0,0.0,0.0,8.0,72.0,0.7916666666666666,0.0,1.0
brauer2006apes,frodo,m,focal_participant,corry,f,competitor,chimpanzee,frodo_corry,soc-dif,10.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,71.0,0.0,1.0,1.0
brauer2006apes,corry,f,focal_participant,frodo,m,competitor,chimpanzee,corry_frodo,soc-sam,5.0,11.0,1.0,2.0,0.0,4.0,3.0,1.0,73.0,0.1506849315068493,1.0,1.0
brauer2006apes,frodo,m,focal_participant,corry,f,competitor,chimpanzee,frodo_corry,nosoc-sam,5.0,6.0,1.0,2.0,1.0,8.0,0.0,0.0,76.0,0.07894736842105263,1.0,1.0
brauer2006apes,frodo,m,focal_participant,corry,f,competitor,chimpanzee,frodo_corry,nosoc-dif,6.0,9.0,1.0,0.0,1.0,8.0,0.0,0.0,84.0,0.10714285714285714,0.0,1.0
brauer2006apes,corry,f,focal_participant,frodo,m,competitor,chimpanzee,corry_frodo,nosoc-dif,9.0,11.0,1.0,0.0,0.0,6.0,1.0,1.0,64.0,0.171875,0.0,1.0
brauer2006apes,corry,f,focal_participant,frodo,m,competitor,chimpanzee,corry_frodo,nosoc-sam,5.0,8.0,1.0,0.0,0.0,8.0,0.0,0.0,64.0,0.125,0.0,1.0
brauer2006apes,gertrudia,f,focal_participant,brent,m,competitor,chimpanzee,gertrudia_brent,soc-sam,10.0,10.0,1.0,0.0,1.0,6.0,2.0,0.0,67.0,0.14925373134328357,0.0,1.0
brauer2006apes,brent,m,focal_participant,gertrudia,f,competitor,chimpanzee,brent_gertrudia,soc-dif,0.0,31.0,1.0,1.0,0.0,0.0,1.0,7.0,62.0,0.5,1.0,0.0
