study_id,participant,age_in_years,sex,species,session,trial,trial_subset,subset,early_item,late_item,coord_early_x,coord_early_y,coord_late_x,coord_late_y,magnitude,symbolic_distance,accuracy,latency,wavering,wavering_coder2
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,16,16,pair_14,1,4,480,384,800,128,1,3,1,626,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,18,16,pair_24,2,4,1120,896,1120,128,2,2,1,1245,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,21,16,pair_35,3,5,160,896,480,896,3,2,1,1147,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,32,17,pair_13,1,3,160,128,480,128,1,2,1,777,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,34,16,pair_25,2,5,800,896,1120,384,2,3,1,1628,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,36,17,pair_25,2,5,800,896,480,640,2,3,1,971,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,37,16,pair_15,1,5,1120,640,160,128,1,4,1,553,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,48,17,pair_24,2,4,160,640,800,896,2,2,1,992,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,49,17,pair_14,1,4,160,640,480,384,1,3,1,676,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,56,18,pair_45,4,5,480,640,160,896,4,1,1,1760,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,58,18,pair_13,1,3,800,640,800,384,1,2,1,707,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,61,18,pair_12,1,2,1120,128,160,640,1,1,1,1039,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,62,17,pair_23,2,3,800,896,160,640,2,1,1,1734,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,65,16,pair_34,3,4,1120,896,800,128,3,1,1,1290,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,71,18,pair_25,2,5,1120,384,480,128,2,3,1,872,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,72,18,pair_24,2,4,800,640,160,384,2,2,1,1116,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,73,17,pair_35,3,5,160,384,480,384,3,2,1,1049,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,75,17,pair_15,1,5,1120,896,480,384,1,4,1,696,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,78,18,pair_15,1,5,1120,128,1120,640,1,4,1,1223,2.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,82,18,pair_23,2,3,1120,128,800,640,2,1,1,923,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,89,17,pair_34,3,4,800,640,160,384,3,1,1,1209,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,91,18,pair_34,3,4,800,128,1120,896,3,1,1,2097,2.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,92,18,pair_14,1,4,800,640,480,640,1,3,1,677,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,6,95,18,pair_35,3,5,1120,640,800,128,3,2,1,1146,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,4,19,pair_25,2,5,160,128,480,128,2,3,1,779,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,5,19,pair_35,3,5,480,384,160,896,3,2,1,1211,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,6,19,pair_12,1,2,480,384,160,640,1,1,1,1039,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,9,20,pair_35,3,5,800,128,480,640,3,2,1,806,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,10,19,pair_14,1,4,800,896,1120,896,1,3,1,660,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,16,20,pair_25,2,5,480,640,480,384,2,3,1,1036,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,22,20,pair_12,1,2,1120,128,480,384,1,1,1,776,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,24,19,pair_13,1,3,800,384,800,128,1,2,0,1021,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,27,20,pair_13,1,3,160,896,1120,128,1,2,1,801,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,7,30,19,pair_24,2,4,480,896,480,384,2,2,1,856,0.0,
