study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,trading_control_3,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,trading_control_4,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,choice_trial_1,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,choice_trial_2,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,3,yasa,10,f,bonobo,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,3,limbuko,12,m,bonobo,endowment_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,4,3,dunja,34,f,orangutan,endowment_trial_p,,,,no_trade,yes,,kila_got_empty_tube
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,trading_control_3,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,trading_control_4,banana,,,no_trade,yes,,
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,choice_trial_1,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,choice_trial_2,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,ulindi,14,f,bonobo,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,trading_control_3,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,trading_control_4,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,choice_trial_1,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,choice_trial_2,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,choice_trial_3,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,limbuko,12,m,bonobo,choice_trial_4,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,4,dunja,34,f,orangutan,identical_trial_p,,,,no_trade,yes,,kila_got_empty_tube
kanngiesser2011limits,1,food,2008,4,15,joey,25,m,bonobo,initial_choice,banana,left,banana,,yes,,
kanngiesser2011limits,1,food,2008,4,15,joey,25,m,bonobo,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,15,joey,25,m,bonobo,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,15,kuno,11,m,bonobo,initial_choice,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,15,kuno,11,m,bonobo,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,15,kuno,11,m,bonobo,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,trading_control_3,banana,,,trade,yes,,"kila_got_tube,_trial_repeated_and_kila_gets_only_1/2_tube_w/_banana"
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,trading_control_4,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,choice_trial_1,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,choice_trial_2,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,choice_trial_3,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,4,15,dunja,35,f,orangutan,choice_trial_4,banana,right,pellet,,yes,,
