study_id,experiment,participant,sex,species,session,trial,condition,position_hole,hq_food,indicated,bent,plexi,modified_point
tauzin2020context,1,fimi,f,bonobo,2,9,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,2,10,hq_blocked,left,right,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,2,11,hq_blocked,left,right,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,2,12,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,1,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,3,2,hq_blocked,right,left,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,3,3,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,4,hq_blocked,right,left,1.0,0.0,1.0,1.0
tauzin2020context,1,fimi,f,bonobo,3,5,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,6,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,7,hq_blocked,right,left,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,3,8,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,9,hq_blocked,right,left,1.0,1.0,0.0,1.0
tauzin2020context,1,fimi,f,bonobo,3,10,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,11,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,fimi,f,bonobo,3,12,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,1,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,2,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,3,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,4,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,5,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,6,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,7,hq_blocked,left,right,1.0,0.0,1.0,1.0
tauzin2020context,1,frederike,f,chimpanzee,1,8,hq_blocked,left,right,0.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,9,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,10,lq_blocked,left,left,1.0,0.0,0.0,0.0
tauzin2020context,1,frederike,f,chimpanzee,1,11,hq_blocked,left,right,1.0,0.0,1.0,1.0
