study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,housing,code_sticktransfer,condition,exp_contr,towexp_comm,towexpstress,towhelpcomm,towhelpstress
liebal2014does,jahaga,16.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,jahaga_gertrudia,zoo,0,give,1,0.0,0.0,0.0,2.0
liebal2014does,jahaga,16.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,jahaga_gertrudia,zoo,0,control_1_no_food,0,,,,
liebal2014does,jahaga,16.0,f,helper,gertrudia,16.0,f,victim,chimpanzee,jahaga_gertrudia,zoo,0,control_2_no_victim,0,,,,
liebal2014does,alex,9.0,m,helper,jahaga,16.0,f,victim,chimpanzee,alex_jahaga,zoo,0,take,1,3.0,0.0,1.0,1.0
liebal2014does,alex,9.0,m,helper,jahaga,16.0,f,victim,chimpanzee,alex_jahaga,zoo,0,give,1,7.0,2.0,1.0,7.0
liebal2014does,alex,9.0,m,helper,jahaga,16.0,f,victim,chimpanzee,alex_jahaga,zoo,0,control_1_no_food,0,,,,
liebal2014does,alex,9.0,m,helper,jahaga,16.0,f,victim,chimpanzee,alex_jahaga,zoo,0,control_2_no_victim,0,,,,
liebal2014does,annett,10.0,f,helper,jahaga,16.0,f,victim,chimpanzee,annett_jahaga,zoo,0,take,1,1.0,1.0,0.0,2.0
liebal2014does,annett,10.0,f,helper,jahaga,16.0,f,victim,chimpanzee,annett_jahaga,zoo,0,give,1,5.0,2.0,0.0,8.0
liebal2014does,annett,10.0,f,helper,jahaga,16.0,f,victim,chimpanzee,annett_jahaga,zoo,0,control_1_no_food,0,,,,
liebal2014does,annett,10.0,f,helper,jahaga,16.0,f,victim,chimpanzee,annett_jahaga,zoo,0,control_2_no_victim,0,,,,
liebal2014does,fifi,16.0,f,helper,jahaga,16.0,f,victim,chimpanzee,fifi_jahaga,zoo,0,take,1,0.0,4.0,2.0,1.0
