study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,4,top,yes,yes,no,yes,2,0,2,0.28,0.0,0,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,5,top,yes,yes,yes,no,1,1,0,0.32,1.08,0.32,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,6,top,yes,yes,yes,yes,2,1,1,0.72,0.04,0.04,yes
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,7,top,yes,yes,no,yes,2,0,2,0.36,0.12,0.12,no
sanchez2019chimpanzees,2016,9,28,bangolo,7,m,focal_participant_right,sandra,23,f,focal_participant_left,chimpanzee,bangolo_sandra,mix,a,1,3,8,top,yes,yes,no,yes,2,0,2,0.2,0.0,0,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,1,top,yes,no,yes,no,2,0,2,0.12,15.0,0.12,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,2,top,yes,no,yes,no,2,0,2,0.0,15.0,0,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,3,top,yes,no,yes,no,2,0,2,0.24,15.0,0.24,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,4,top,yes,no,yes,no,2,0,2,0.72,15.0,0.72,no
sanchez2019chimpanzees,2016,9,28,dorien,35,f,focal_participant_right,lome,15,m,focal_participant_left,chimpanzee,dorien_lome,mix,a,1,3,5,top,yes,no,yes,no,2,0,2,0.08,15.0,0.08,no
