study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,exp_group,order,choice,sum_correct,feature,place
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,9,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,10,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,11,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,yasa,9,10,f,bonobo,3,12,test,learn_see,e2_e1,feature,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,1,test,see,e1_e2,feature,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,2,test,see,e1_e2,middle,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,3,test,see,e1_e2,feature,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,4,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,5,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,6,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,7,test,see,e1_e2,feature,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,8,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,9,test,see,e1_e2,middle,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,10,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,11,test,see,e1_e2,middle,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,6,16,limbuko,11,12,m,bonobo,1,12,test,see,e1_e2,place,,25*,50*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,1,training,learn,e2,search_nonbaited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,2,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,3,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,4,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,5,training,learn,e2,search_baited_location,,58*,42*
kanngiesser2010bonobos,3,table_follow_up,2008,5,31,ulindi,13,14,f,bonobo,4,6,training,learn,e2,search_baited_location,,58*,42*
