study_id,year,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_original,dyad_sex,trial,friendship_relation,poke_left_focal_participant,poke_right_focal_participant,poke_total,turn_taking_within_trial,total_turn_taking_per_dyad
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,1,yes,18,56,74,8,66.0
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,2,yes,19,48,67,6,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,3,yes,25,40,65,14,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,4,yes,12,39,51,10,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,5,yes,7,42,49,2,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,6,yes,19,64,83,6,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,7,yes,1,66,67,2,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,8,yes,31,58,89,12,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,9,yes,35,60,95,1,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,pia,12,f,focal_participant_left_es_view,chimpanzee,kara_pia,pia_kara,female,10,yes,34,49,83,5,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,1,yes,16,38,54,2,19.0
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,2,yes,38,35,73,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,3,yes,32,43,75,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,4,yes,29,46,75,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,5,yes,36,30,66,4,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,6,yes,56,39,95,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,7,yes,18,30,48,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,8,yes,20,33,53,2,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,9,yes,26,45,71,1,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,riet,34,f,focal_participant_left_es_view,chimpanzee,tai_riet,riet_tai,female,10,yes,17,34,51,2,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,1,yes,0,22,22,0,9.0
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,2,yes,0,24,24,0,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,3,yes,0,39,39,0,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,4,yes,11,22,33,2,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,5,yes,4,41,45,3,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,6,yes,6,52,58,2,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,7,yes,2,51,53,2,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,8,yes,0,47,47,0,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,9,yes,0,38,38,0,
knofe2019chimpanzees,2011,lobo,7,m,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,lobo_robert,robert_lobo,male,10,yes,0,54,54,0,
knofe2019chimpanzees,2011,tai,9,f,focal_participant_right_es_view,robert,36,m,focal_participant_left_es_view,chimpanzee,tai_robert,robert_tai,mixed,1,no,0,55,55,0,17.0
