study_id,participant,age_in_years,sex,species,zoo,condition,texture,shape,colour,contact_time_sec,contact_proportion,trial_time_sec,manipul_count,manipul_proportion
ebel2020object,raja,9,f,orangutan,leipzig,texture,soft,ball,green,3.6,1.0,3.6,4,1.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,soft,block,red,37.8,1.0,37.8,14,1.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,hard,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,raja,9,f,orangutan,leipzig,texture,soft,ball,red,39.4,1.0,39.4,12,1.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,soft,block,green,44.0,1.0,44.0,14,1.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,hard,ball,green,0.0,0.0,0.0,0,0.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,soft,ball,green,36.0,1.0,36.0,10,1.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,soft,block,red,32.6,1.0,32.6,12,1.0
ebel2020object,suaq,3,m,orangutan,leipzig,texture,hard,ball,red,82.0,0.5,153.0,9,0.38
ebel2020object,suaq,3,m,orangutan,leipzig,texture,soft,ball,red,71.0,0.5,153.0,15,0.63
ebel2020object,suma,20,f,orangutan,dortmund,texture,hard,block,green,1.4,0.1,14.4,2,0.22
ebel2020object,suma,20,f,orangutan,dortmund,texture,soft,block,green,13.0,0.9,14.4,7,0.78
ebel2020object,suma,20,f,orangutan,dortmund,texture,hard,ball,green,52.2,0.7,70.8,4,0.33
ebel2020object,suma,20,f,orangutan,dortmund,texture,soft,ball,green,18.6,0.3,70.8,8,0.67
ebel2020object,suma,20,f,orangutan,dortmund,texture,hard,block,red,0.0,0.0,0.0,0,0.0
ebel2020object,suma,20,f,orangutan,dortmund,texture,soft,block,red,35.0,1.0,35.0,8,1.0
ebel2020object,suma,20,f,orangutan,dortmund,texture,hard,ball,red,0.0,0.0,0.0,0,0.0
ebel2020object,suma,20,f,orangutan,dortmund,texture,soft,ball,red,15.0,1.0,15.0,6,1.0
ebel2020object,tanah,3,f,orangutan,leipzig,texture,hard,block,green,62.6,0.5,136.0,15,0.38
ebel2020object,tanah,3,f,orangutan,leipzig,texture,soft,block,green,73.4,0.5,136.0,24,0.62
ebel2020object,tanah,3,f,orangutan,leipzig,texture,hard,ball,green,64.2,0.5,121.2,13,0.52
ebel2020object,tanah,3,f,orangutan,leipzig,texture,soft,ball,green,57.0,0.5,121.2,12,0.48
ebel2020object,tanah,3,f,orangutan,leipzig,texture,hard,block,red,32.0,0.5,59.4,4,0.31
ebel2020object,tanah,3,f,orangutan,leipzig,texture,soft,block,red,27.4,0.5,59.4,9,0.69
ebel2020object,tanah,3,f,orangutan,leipzig,texture,hard,ball,red,161.6,0.5,326.2,14,0.26
ebel2020object,tanah,3,f,orangutan,leipzig,texture,soft,ball,red,164.6,0.5,326.2,39,0.74
ebel2020object,tao,8,f,orangutan,dortmund,texture,hard,block,green,0.0,0.0,0.0,0,0.0
ebel2020object,tao,8,f,orangutan,dortmund,texture,soft,block,green,33.6,1.0,33.6,9,1.0
ebel2020object,tao,8,f,orangutan,dortmund,texture,hard,ball,green,21.6,0.5,43.8,5,0.38
ebel2020object,tao,8,f,orangutan,dortmund,texture,soft,ball,green,22.2,0.5,43.8,8,0.62
ebel2020object,tao,8,f,orangutan,dortmund,texture,hard,block,red,0.6,0.0,27.4,1,0.1
ebel2020object,tao,8,f,orangutan,dortmund,texture,soft,block,red,26.8,1.0,27.4,9,0.9
ebel2020object,tao,8,f,orangutan,dortmund,texture,hard,ball,red,70.2,0.4,161.6,21,0.54
ebel2020object,tao,8,f,orangutan,dortmund,texture,soft,ball,red,91.4,0.6,161.6,18,0.46
