study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,4,test_decoy_small_banana,grape,small_banana,banana,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,5,test_decoy_small_grape,small_grape,banana,grape,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,6,control_for_preference_banana,grape,banana,banana,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,7,test_decoy_small_grape,banana,grape,small_grape,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,8,test_decoy_small_grape,grape,small_grape,banana,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,9,test_decoy_small_banana,small_banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,10,control_for_preference_banana,banana,grape,banana,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,11,test_decoy_small_grape,banana,small_grape,grape,grape,first
sanchez2019disentangling,2016,10,16,alex,15.0,m,chimpanzee,5,12,test_decoy_small_banana,banana,grape,small_banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,1,control_for_preference_banana,banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,2,control_for_preference_banana,grape,banana,banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,3,test_decoy_small_grape,grape,banana,small_grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,4,test_decoy_small_banana,small_banana,grape,banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,5,test_decoy_small_banana,grape,banana,small_banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,6,control_for_preference_banana,banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,7,control_for_preference_banana,grape,banana,banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,8,test_decoy_small_grape,grape,banana,small_grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,9,control_for_preference_banana,banana,banana,grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,10,control_for_preference_banana,banana,grape,banana,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,11,test_decoy_small_grape,small_grape,banana,grape,grape,first
sanchez2019disentangling,2016,10,19,alex,15.0,m,chimpanzee,6,12,test_decoy_small_banana,small_banana,grape,banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,1,test_decoy_small_banana,grape,small_banana,banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,2,control_for_preference_banana,banana,grape,banana,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,3,test_decoy_small_banana,banana,small_banana,grape,grape,first
sanchez2019disentangling,2016,10,20,alex,15.0,m,chimpanzee,7,4,control_for_preference_banana,grape,banana,banana,grape,first
