study_id,experiment,experiment_name,publication,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,pair,cond_sid,app_side,app_what,app_time,condition,whath,whatv,whathn,whatvn,con_inde
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,6,10.0,h_v_left,left,visible,3.0,h_v,,1.0,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,7,10.0,h_h_noise_right,left,hidden,4.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,8,10.0,h_right,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,9,10.0,h_left,left,hidden,3.0,h,1.0,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,10,10.0,v_noise_left,left,visible_noise,2.0,v_noise,,,,1.0,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,11,10.0,v_noise_right,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,14,fifi,9,f,focal_participant,natascha,22,f,against,chimpanzee,fifi_natascha,12,10.0,h_h_noise_left,not,not,,h_h_noise,,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,1,11.0,v_left,left,visible,1.0,v,,1.0,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,2,11.0,h_noise_right,right,hidden_noise,1.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,3,11.0,h_noise_left,not,not,,h_noise,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,4,11.0,h_left,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,5,11.0,v_right,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,6,11.0,h_h_noise_left,left,hidden_noise,1.0,h_h_noise,,,1.0,,
brauer2007chimpanzees,1,basic_data,2007,2003,02,05,fifi,9,f,focal_participant,jahaga,10,f,against,chimpanzee,fifi_jahaga,7,11.0,h_v_right,left,hidden,1.0,h_v,1.0,,,,
