study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,padana,f,orangutan,1,1,unbending_task,bending,no,,,28.921,0.0,12.121,0.0,12.724,6.72,at_apparatus_then_elsewhere,s_r_v,no,0.0,no,0.0,no,0.0,0,0.0,3.604
laumer2018spontaneous,padana,f,orangutan,1,2,unbending_task,bending,no,,,41.16,0.0,8.039,0.0,4.56,5.402,elsewhere,r,no,0.0,no,0.0,no,0.0,0,0.0,3.001
laumer2018spontaneous,padana,f,orangutan,1,3,unbending_task,bending,no,,,162.744,0.0,74.993,0.0,4.08,17.902,elsewhere,r_q,no,0.0,no,0.0,no,0.0,0,0.0,2.28
laumer2018spontaneous,padana,f,orangutan,1,4,unbending_task,bending,no,,,81.961,0.0,57.238,0.0,4.561,5.88,elsewhere,v_r,no,0.0,no,0.0,no,0.0,0,0.0,2.399
laumer2018spontaneous,padana,f,orangutan,1,5,unbending_task,bending,no,,,103.2,0.0,72.483,0.0,4.563,9.81300000000001,elsewhere,r_q,no,0.0,no,0.0,no,0.0,0,0.0,2.643
laumer2018spontaneous,padana,f,orangutan,1,6,unbending_task,bending,no,,,70.689,0.0,48.85,0.0,3.36,4.677,at_apparatus_then_elsewhere,v_s_,no,0.0,no,0.0,no,0.0,0,0.0,2.759
laumer2018spontaneous,padana,f,orangutan,1,7,unbending_task,bending,no,,,28.121,0.0,20.277,0.0,7.68,1.56,elsewhere,v,no,0.0,no,0.0,no,0.0,0,0.0,6.119
laumer2018spontaneous,padana,f,orangutan,1,8,unbending_task,bending,no,,,140.28,0.0,81.118,0.0,4.56,16.009,elsewhere,v_r,no,0.0,yes,12.119,no,0.0,0,0.0,2.76
laumer2018spontaneous,padana,f,orangutan,1,9,unbending_task,bending,no,,,27.84,0.0,17.039,0.0,5.279,2.341,elsewhere_then_at_apparatus,r_s,no,0.0,no,0.0,no,0.0,0,0.0,1.919
laumer2018spontaneous,padana,f,orangutan,1,10,unbending_task,bending,no,,,30.484,0.0,24.96,0.0,5.879,2.521,elsewhere,r,no,0.0,no,0.0,no,0.0,0,0.0,4.075
