study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,spitting,latency_first_spit/water,number_of_spits,success,latency_success
hanus2011comparing,2,2005,10,22,pasa,6.0,6,f,chimpanzee,9,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,23,pasa,6.0,6,f,chimpanzee,10,wet       ,0,,0,0,
hanus2011comparing,2,,,,puji,6.0,6,f,orangutan,,dry       ,0,,0,0,
hanus2011comparing,2,,,,sally,14.0,14,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,sally,14.0,14,f,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,,,,sally,3.0,14,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,sophie,19.0,19,f,chimpanzee,,wet       ,0,,0,0,
hanus2011comparing,2,,,,sunday,18.0,18,m,chimpanzee,,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,18,umutama,9.0,9,m,chimpanzee,1,wet       ,1,5,2,1,459
hanus2011comparing,2,2005,10,19,umutama,9.0,9,m,chimpanzee,2,wet       ,1,46,10,1,398
hanus2011comparing,2,2005,10,20,umutama,9.0,9,m,chimpanzee,3,wet       ,1,16,8,1,133
hanus2011comparing,2,2005,10,21,umutama,9.0,9,m,chimpanzee,4,wet       ,1,23,4,1,105
hanus2011comparing,2,2005,10,22,umutama,9.0,9,m,chimpanzee,5,wet       ,1,19,3,1,102
hanus2011comparing,2,2005,10,23,umutama,9.0,9,m,chimpanzee,6,wet       ,1,17,5,1,105
hanus2011comparing,2,2005,10,24,umutama,9.0,9,m,chimpanzee,7,wet       ,1,159,6,1,314
hanus2011comparing,2,2005,10,25,umutama,9.0,9,m,chimpanzee,8,wet       ,1,39,3,1,82
hanus2011comparing,2,2005,06,27,yoyo,6.0,6,f,chimpanzee,1,dry       ,1,232,3,1,520
hanus2011comparing,2,2005,06,27,yoyo,6.0,6,f,chimpanzee,2,dry       ,1,91,2,1,130
hanus2011comparing,2,2005,06,28,yoyo,6.0,6,f,chimpanzee,3,dry       ,1,37,3,1,78
hanus2011comparing,2,2005,06,28,yoyo,6.0,6,f,chimpanzee,4,dry       ,1,55,3,1,81
hanus2011comparing,2,2005,06,29,yoyo,6.0,6,f,chimpanzee,5,dry       ,1,8,3,1,31
hanus2011comparing,2,2005,06,29,yoyo,6.0,6,f,chimpanzee,6,dry       ,1,18,3,1,40
hanus2011comparing,2,2005,06,30,yoyo,6.0,6,f,chimpanzee,7,dry       ,1,7,5,1,29
hanus2011comparing,2,2005,06,30,yoyo,6.0,6,f,chimpanzee,8,dry       ,1,32,3,1,68
