study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments
manrique2010great,1,2006,12,11,frodo,13.0,13.0,m,chimpanzee,3.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,12,frodo,13.0,13.0,m,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,12,12,frodo,13.0,13.0,m,chimpanzee,2.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,12,frodo,13.0,13.0,m,chimpanzee,3.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,12,13,frodo,13.0,13.0,m,chimpanzee,1.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,12,13,frodo,13.0,13.0,m,chimpanzee,2.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,12,13,frodo,13.0,13.0,m,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,12,15,frodo,13.0,13.0,m,chimpanzee,1.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,12,15,frodo,13.0,13.0,m,chimpanzee,2.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,12,15,frodo,13.0,13.0,m,chimpanzee,3.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,12,21,frodo,13.0,13.0,m,chimpanzee,1.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,12,21,frodo,13.0,13.0,m,chimpanzee,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,12,21,frodo,13.0,13.0,m,chimpanzee,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,27,ulla,30.0,29.0,f,chimpanzee,1.0,string,no,2.0,b+c,grey_cord+blue_foam,c,blue_foam,,
manrique2010great,1,2006,11,27,ulla,30.0,29.0,f,chimpanzee,2.0,string,no,2.0,b+c,grey_cord+blue_foam,c,blue_foam,,
