study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,1.0,3.0,1.0,5.84,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,2.0,1.0,1.0,5.92,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,2.0,2.0,1.0,58.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,2.0,3.0,1.0,30.6,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,3.0,1.0,1.0,0.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,3.0,2.0,1.0,58.88,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,3.0,3.0,1.0,1.96,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,4.0,1.0,2.0,11.0,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,4.0,2.0,2.0,58.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,4.0,3.0,2.0,34.52,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,5.0,1.0,2.0,12.0,1.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,5.0,2.0,2.0,60.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,5.0,3.0,2.0,46.12,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,6.0,1.0,2.0,12.48,2.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,6.0,2.0,2.0,58.88,0.0
uher2008coherence,8,keeper_interaction_test,2005,sandra,11.0,f,chimpanzee,6.0,3.0,2.0,14.96,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,1.0,1.0,1.0,107.88,1.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,1.0,2.0,1.0,58.64,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,1.0,3.0,1.0,83.64,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,2.0,1.0,1.0,108.84,2.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,2.0,2.0,1.0,60.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,2.0,3.0,1.0,116.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,3.0,1.0,1.0,67.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,3.0,2.0,1.0,54.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,3.0,3.0,1.0,82.16,1.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,4.0,1.0,2.0,120.04,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,4.0,2.0,2.0,59.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,4.0,3.0,2.0,120.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,5.0,1.0,2.0,119.88,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,5.0,2.0,2.0,60.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,5.0,3.0,2.0,119.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,6.0,1.0,2.0,119.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,6.0,2.0,2.0,60.2,0.0
uher2008coherence,8,keeper_interaction_test,2005,bebe,25.0,f,gorilla,6.0,3.0,2.0,120.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,1.0,1.0,1.0,118.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,1.0,2.0,1.0,64.6,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,1.0,3.0,1.0,120.92,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,2.0,1.0,1.0,118.44,2.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,2.0,2.0,1.0,60.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,2.0,3.0,1.0,119.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,3.0,1.0,1.0,10.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,3.0,2.0,1.0,60.2,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,3.0,3.0,1.0,48.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,4.0,1.0,2.0,87.08,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,4.0,2.0,2.0,60.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,4.0,3.0,2.0,51.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,5.0,1.0,2.0,58.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,5.0,2.0,2.0,60.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,5.0,3.0,2.0,55.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,6.0,1.0,2.0,43.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,6.0,2.0,2.0,60.16,0.0
uher2008coherence,8,keeper_interaction_test,2005,n’diki,27.0,f,gorilla,6.0,3.0,2.0,39.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,1.0,1.0,0.0,2.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,2.0,1.0,56.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,3.0,1.0,62.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,1.0,8.88,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,2.0,1.0,56.2,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,3.0,1.0,71.48,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,1.0,1.0,20.72,1.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,2.0,1.0,57.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,3.0,1.0,27.44,1.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,1.0,2.0,12.28,2.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,2.0,58.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,3.0,2.0,17.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,1.0,2.0,83.52,3.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,2.0,2.0,59.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,5.0,3.0,2.0,44.36,3.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,1.0,2.0,107.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,2.0,2.0,59.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,ruby_b'windi,7.0,f,gorilla,6.0,3.0,2.0,119.72,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,1.0,1.0,1.0,0.0,2.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,1.0,2.0,1.0,51.36,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,1.0,3.0,1.0,20.96,1.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,2.0,1.0,1.0,37.44,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,2.0,2.0,1.0,44.64,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,2.0,3.0,1.0,56.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,3.0,1.0,1.0,0.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,3.0,2.0,1.0,58.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,3.0,3.0,1.0,2.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,4.0,1.0,2.0,9.59,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,4.0,2.0,2.0,98.95,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,4.0,3.0,2.0,58.32,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,5.0,1.0,2.0,0.0,1.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,5.0,2.0,2.0,57.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,5.0,3.0,2.0,118.24,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,6.0,1.0,2.0,0.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,6.0,2.0,2.0,93.25,0.0
uher2008coherence,8,keeper_interaction_test,2005,viringika,9.0,f,gorilla,6.0,3.0,2.0,21.61,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,1.0,1.0,1.0,118.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,1.0,2.0,1.0,60.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,1.0,3.0,1.0,118.56,0.0
uher2008coherence,8,keeper_interaction_test,2005,dokana,16.0,f,orangutan,2.0,1.0,1.0,119.96,0.0
