study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,activity,latency_to_reach_or_touch,not_found_or_taken,percentage_items_found,food_item
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,59.08,59.08,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,3,1,1.0,,,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,,3.36,3.36,100.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,8.04,8.04,100.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,16.08,16.08,100.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,23.16,23.16,100.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,2.0,35.52,35.52,100.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,2.0,41.56,41.56,100.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,50.24,50.24,100.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,69.12,69.12,100.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,1.0,122.52,122.52,100.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,148.56,148.56,100.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,4,2,3.0,172.16,172.16,100.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,,1.76,1.76,80.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,3.0,25.2,25.2,80.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,2.0,7.12,7.12,80.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,2.0,33.0,33.0,80.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,3.0,42.76,42.76,80.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,48.2,48.2,80.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,58.36,58.36,80.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,69.96,69.96,80.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,78.12,78.12,80.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,0.0,600.0,80.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,5,2,1.0,0.0,600.0,80.0,10.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,,1.48,1.48,90.0,0.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,3.0,5.16,5.16,90.0,1.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,3.0,15.64,15.64,90.0,2.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,2.0,22.6,22.6,90.0,3.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,2.0,55.6,55.6,90.0,4.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,2.0,63.04,63.04,90.0,5.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,2.0,71.68,71.68,90.0,6.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,1.0,93.76,93.76,90.0,7.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,1.0,97.6,97.6,90.0,8.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,1.0,109.84,109.84,90.0,9.0
uher2008coherence,6,hidden_food_test,2005,limbuko,9,m,bonobo,6,2,1.0,0.0,600.0,90.0,10.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,,1.92,1.92,90.0,0.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,8.92,8.92,90.0,1.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,9.4,9.4,90.0,2.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,20.16,20.16,90.0,3.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,23.32,23.32,90.0,4.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,27.04,27.04,90.0,5.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,32.4,32.4,90.0,6.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,91.2,91.2,90.0,7.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,3.0,117.8,117.8,90.0,8.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,2.0,133.68,133.68,90.0,9.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,1,1,1.0,0.0,600.0,90.0,10.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,,1.4,1.4,90.0,0.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,3.0,8.24,8.24,90.0,1.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,2.0,21.04,21.04,90.0,2.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,2.0,26.6,26.6,90.0,3.0
uher2008coherence,6,hidden_food_test,2005,yasa,7,f,bonobo,2,1,3.0,31.56,31.56,90.0,4.0
