study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,day,white,brown
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,6.0,,4.0
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,6.0,,4.0
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,6.0,1.0,1.0
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,6.0,3.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,6.0,,
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,6.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,6.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,7.0,13.0,
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,7.0,2.0,9.0
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,7.0,,15.0
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,7.0,3.0,6.0
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,7.0,1.0,2.0
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,7.0,1.0,
leeuwen2013total,lobo,7,m,observed,lome,10.0,m,observer,lobo_lome,chimpanzee,7.0,8.0,
leeuwen2013total,swela,16,f,observed,lome,10.0,m,observer,swela_lome,chimpanzee,7.0,,3.0
leeuwen2013total,ulla,34,f,observed,lome,10.0,m,observer,ulla_lome,chimpanzee,7.0,,
leeuwen2013total,dorien,31,f,observed,lome,10.0,m,observer,dorien_lome,chimpanzee,7.0,,
leeuwen2013total,tai,9,f,observed,lome,10.0,m,observer,tai_lome,chimpanzee,8.0,,
leeuwen2013total,pia,12,f,observed,lome,10.0,m,observer,pia_lome,chimpanzee,8.0,,
leeuwen2013total,lome,10,m,exchanger,,,,,,chimpanzee,8.0,,
leeuwen2013total,fraukje,35,f,observed,lome,10.0,m,observer,fraukje_lome,chimpanzee,8.0,,
leeuwen2013total,kara,6,f,observed,lome,10.0,m,observer,kara_lome,chimpanzee,8.0,,
leeuwen2013total,kofi,6,m,observed,lome,10.0,m,observer,kofi_lome,chimpanzee,8.0,,
