study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,correct_side,correct_side_1,chosen_side,order_block,order_block2,session_within_block,block,side_with_food_image
volter2018intuitive,4,bimbo,34,m,orangutan,8,90,incongruent,l,0.0,r,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,91,congruent,r,0.0,l,image_first,2.0,4.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,92,congruent,l,1.0,l,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,93,congruent,r,1.0,r,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,94,incongruent,r,0.0,l,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,95,incongruent,l,0.0,r,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,8,96,congruent,l,1.0,l,image_first,2.0,4.0,mirror,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,1,congruent,l,1.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,2,congruent,r,0.0,l,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,1,3,incongruent,r,0.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,4,incongruent,l,0.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,5,congruent,l,1.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,6,incongruent,r,1.0,r,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,1,7,incongruent,l,0.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,8,congruent,r,1.0,r,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,9,incongruent,l,1.0,l,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,1,10,incongruent,r,0.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,1,11,congruent,r,0.0,l,image_first,1.0,1.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,1,12,congruent,l,1.0,l,image_first,1.0,1.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,2,13,incongruent,r,0.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,2,14,congruent,r,0.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,15,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,16,congruent,l,1.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,2,17,congruent,r,0.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,18,congruent,l,0.0,r,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,19,incongruent,r,0.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,2,20,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,21,incongruent,r,1.0,r,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,22,incongruent,l,1.0,l,image_first,1.0,2.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,2,23,congruent,r,1.0,r,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,2,24,congruent,l,1.0,l,image_first,1.0,2.0,image,1.0
volter2018intuitive,4,dokana,26,f,orangutan,3,25,congruent,l,0.0,r,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,3,26,incongruent,r,1.0,r,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,dokana,26,f,orangutan,3,27,congruent,r,0.0,l,image_first,1.0,3.0,image,0.0
