study_id,year,month,day,participant,age_in_years,sex,species,session,trial,apparatus,start_time,end_time,finger,lift,shoot,success_action
manrique2013repeated,2009,9,2,jahaga,16,f,chimpanzee,1,10,2,"7'59""","8'06""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,11,2,"0'24""","0'35""",1,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,12,2,"1'09""","1'15""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,13,2,"1'30""","1'38""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,14,2,"1'50""","1'56""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,15,2,"2'09""","2'21""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,16,2,"2'52""","3'03""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,17,2,"3'20""","3'25""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,18,2,"3'45""","3'49""",0,1,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,19,2,"4'10""","4'35""",0,2,0,lift
manrique2013repeated,2009,9,3,jahaga,16,f,chimpanzee,2,20,2,"4'54""","4'59""",0,1,0,lift
manrique2013repeated,2009,9,4,jahaga,16,f,chimpanzee,1,1,3,"0'25""","10'13""",0,30,0,no_success
manrique2013repeated,2009,9,5,jahaga,16,f,chimpanzee,2,1,3,"0'15""","1'59""",0,7,4,shoot
manrique2013repeated,2009,9,5,jahaga,16,f,chimpanzee,2,2,3,"3'48""","5'20""",0,0,46,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,3,3,"17""","31""",0,0,31,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,4,3,"59""","1'14""",0,2,3,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,5,3,"1'46""","1'55""",0,0,6,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,6,3,"2'16""","2'25""",0,1,2,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,7,3,"2'32""","2'36""",0,0,3,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,8,3,"2'49""","3'11""",0,0,12,shoot
manrique2013repeated,2009,9,6,jahaga,16,f,chimpanzee,3,9,3,3'27,"10'35""",0,3,9,no_success
manrique2013repeated,2009,9,7,jahaga,16,f,chimpanzee,4,9,3,"19""","10'15""",0,5,0,no_success
manrique2013repeated,2009,9,8,jahaga,16,f,chimpanzee,5,9,3,"50""","10'28""",0,6,0,no_success
manrique2013repeated,2009,08,31,gertrudia,16,f,chimpanzee,1,1,1,"32""","1'21""",3,0,0,finger
manrique2013repeated,2009,08,31,gertrudia,16,f,chimpanzee,1,2,1,"1'32""","2'05""",1,0,0,finger
