"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,9,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,6,"fraukje",36.5,36,"f","chimpanzee","a",9,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,1,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,2,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,6,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,9,"arbitrary","b","a","r","r",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,7,"fraukje",36.5,36,"f","chimpanzee","a",10,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,7,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,8,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,9,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,8,"fraukje",36.5,36,"f","chimpanzee","a",11,12,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,6,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,8,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,11,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,9,"fraukje",36.51,36,"f","chimpanzee","a",12,12,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,10,"fraukje",36.51,36,"f","chimpanzee","a",13,12,"arbitrary","b","a","r","l",0
