study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,1st_amount_chosen,2nd_amount_chosen,1st_choice_container,2nd_choice_container
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,8.0,4-cup,lm_trial,larger_quantity,smaller_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,9.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,11.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,12.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,13.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,14.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,15.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,16.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,17.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,18.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,19.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,01,15,fraukje,25.0,f,chimpanzee,2,20.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,01,16,fraukje,25.0,f,chimpanzee,3,1.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
