study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,kuno,14,m,bonobo,1,2,2,11,19,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,0,3,12,7,2,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,13,11,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,2,2,14,18,2,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,15,10,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,16,8,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,17,14,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,2,1,2,18,15,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kuno,14,m,bonobo,3,2,2,19,22,2,1,0,1.0,0.0,1.0,1.0
volter2014younger,2,kuno,14,m,bonobo,1,1,2,20,9,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,2,2,21,17,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,1,0,3,22,5,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kuno,14,m,bonobo,3,0,3,23,6,2,1,0,1.0,1.0,0.0,2.0
volter2014younger,2,kuno,14,m,bonobo,4,0,3,24,4,2,0,0,1.0,2.0,0.0,3.0
volter2014younger,2,pia,12,f,chimpanzee,2,0,3,1,1,1,1,0,0.0,0.0,0.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,3,1,2,2,15,1,1,0,1.0,0.0,1.0,1.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,3,5,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,2,2,4,23,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,0,3,5,3,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,pia,12,f,chimpanzee,1,1,2,6,12,1,1,1,2.0,0.0,0.0,0.0
