study_id,experiment,participant,age_in_years,sex,species,number_trials,condition,lop,num_levels,changes_direction,order,new_order,configuration_id,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014younger,1,kibara,7,f,gorilla,3,clear,2,2,0.0,35,11.0,22,2,0,0,4.0,-1.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,0.0,36,12.0,8,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,2,1,1.0,37,13.0,18,2,1,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,0,2,0.0,38,14.0,6,2,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,3,clear,1,1,1.0,39,15.0,10,2,1,0,4.0,-1.0
volter2014younger,1,kibara,7,f,gorilla,3,clear,0,2,1.0,40,16.0,3,2,0,0,4.0,-1.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,1,2,0.0,41,17.0,14,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,0,2,0.0,42,18.0,4,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,9,clear,2,2,1.0,43,19.0,24,2,0,0,4.0,5.0
volter2014younger,1,kibara,7,f,gorilla,15,clear,1,2,1.0,44,20.0,13,2,0,0,4.0,11.0
volter2014younger,1,kibara,7,f,gorilla,5,clear,2,2,1.0,45,21.0,21,2,1,0,4.0,1.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,0,2,1.0,46,22.0,7,2,1,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,2,1,1.0,47,23.0,19,2,0,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,3,clear,1,2,1.0,48,24.0,16,2,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,12,clear,1,1,0.0,1,1.0,9,1,0,0,4.0,8.0
volter2014younger,1,kila,11,f,orangutan,17,clear,0,2,1.0,2,2.0,3,1,0,0,4.0,13.0
volter2014younger,1,kila,11,f,orangutan,17,clear,2,2,1.0,3,3.0,24,1,0,0,4.0,13.0
volter2014younger,1,kila,11,f,orangutan,8,clear,1,1,1.0,4,4.0,10,1,1,0,4.0,4.0
volter2014younger,1,kila,11,f,orangutan,5,clear,2,2,1.0,5,5.0,21,1,1,0,4.0,1.0
volter2014younger,1,kila,11,f,orangutan,17,clear,1,2,1.0,6,6.0,13,1,1,0,4.0,13.0
volter2014younger,1,kila,11,f,orangutan,3,clear,2,1,1.0,7,7.0,19,1,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,6,clear,2,1,1.0,8,8.0,18,1,1,0,4.0,2.0
volter2014younger,1,kila,11,f,orangutan,3,clear,0,2,0.0,9,9.0,6,1,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,1,clear,1,2,0.0,10,10.0,15,1,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,11,clear,0,2,0.0,11,11.0,4,1,0,0,4.0,7.0
volter2014younger,1,kila,11,f,orangutan,5,clear,0,2,1.0,12,12.0,2,1,0,0,4.0,1.0
volter2014younger,1,kila,11,f,orangutan,16,clear,1,1,1.0,13,13.0,11,1,0,0,4.0,12.0
volter2014younger,1,kila,11,f,orangutan,5,clear,0,2,1.0,14,14.0,7,1,1,0,4.0,1.0
volter2014younger,1,kila,11,f,orangutan,6,clear,0,2,1.0,15,15.0,5,1,1,0,4.0,2.0
volter2014younger,1,kila,11,f,orangutan,4,clear,1,1,0.0,16,16.0,12,1,1,0,4.0,0.0
volter2014younger,1,kila,11,f,orangutan,3,clear,2,2,0.0,17,17.0,22,1,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,3,clear,0,2,0.0,18,18.0,8,1,1,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,6,clear,2,1,0.0,19,19.0,20,1,0,0,4.0,2.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,0.0,20,20.0,1,1,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,4,clear,1,2,1.0,21,21.0,16,1,1,0,4.0,0.0
volter2014younger,1,kila,11,f,orangutan,1,clear,2,1,0.0,22,22.0,17,1,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,3,clear,2,2,0.0,23,23.0,23,1,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,5,clear,1,2,0.0,24,24.0,14,1,1,0,4.0,1.0
volter2014younger,1,kila,11,f,orangutan,2,clear,1,1,0.0,25,1.0,12,2,0,0,4.0,-2.0
volter2014younger,1,kila,11,f,orangutan,4,clear,0,2,0.0,26,2.0,4,2,1,0,4.0,0.0
volter2014younger,1,kila,11,f,orangutan,3,clear,1,2,1.0,28,3.0,16,2,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,2,clear,2,2,0.0,29,4.0,22,2,0,0,4.0,-2.0
volter2014younger,1,kila,11,f,orangutan,2,clear,1,2,0.0,30,5.0,15,2,0,0,4.0,-2.0
volter2014younger,1,kila,11,f,orangutan,1,clear,2,1,0.0,31,6.0,20,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,10,clear,0,2,1.0,32,7.0,2,2,1,0,4.0,6.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,1.0,33,8.0,3,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,2,clear,2,1,1.0,34,9.0,19,2,0,0,4.0,-2.0
volter2014younger,1,kila,11,f,orangutan,1,clear,1,2,0.0,35,10.0,14,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,2,2,0.0,36,11.0,23,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,2,1,0.0,37,12.0,17,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,1.0,38,13.0,5,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,6,clear,1,1,1.0,39,14.0,10,2,1,0,4.0,2.0
volter2014younger,1,kila,11,f,orangutan,1,clear,2,1,1.0,40,15.0,18,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,2,clear,0,2,1.0,41,16.0,7,2,0,0,4.0,-2.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,0.0,42,17.0,8,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,1,2,1.0,43,18.0,13,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,0.0,45,19.0,6,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,0,2,0.0,46,20.0,1,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,1,clear,1,1,0.0,47,21.0,9,2,1,1,4.0,-3.0
volter2014younger,1,kila,11,f,orangutan,6,clear,2,2,1.0,48,22.0,21,2,1,0,4.0,2.0
volter2014younger,1,kila,11,f,orangutan,3,clear,1,1,1.0,49,23.0,11,2,0,0,4.0,-1.0
volter2014younger,1,kila,11,f,orangutan,2,clear,2,2,1.0,50,24.0,24,2,0,0,4.0,-2.0
volter2014younger,1,kofi,6,m,chimpanzee,3,clear,1,2,0.0,1,1.0,14,1,0,0,4.0,-1.0
volter2014younger,1,kofi,6,m,chimpanzee,3,clear,0,2,1.0,2,2.0,7,1,1,0,4.0,-1.0
volter2014younger,1,kofi,6,m,chimpanzee,17,clear,1,1,0.0,3,3.0,9,1,0,0,4.0,13.0
volter2014younger,1,kofi,6,m,chimpanzee,10,clear,2,2,0.0,4,4.0,22,1,0,0,4.0,6.0
volter2014younger,1,kofi,6,m,chimpanzee,3,clear,1,2,1.0,5,5.0,13,1,1,0,4.0,-1.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,1,2,1.0,6,6.0,16,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,1.0,7,7.0,24,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,1.0,8,8.0,3,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,4,clear,2,1,0.0,9,9.0,20,1,0,0,4.0,0.0
volter2014younger,1,kofi,6,m,chimpanzee,5,clear,1,1,0.0,10,10.0,12,1,1,0,4.0,1.0
volter2014younger,1,kofi,6,m,chimpanzee,5,clear,2,1,1.0,11,11.0,19,1,1,0,4.0,1.0
volter2014younger,1,kofi,6,m,chimpanzee,11,clear,0,2,0.0,12,12.0,4,1,0,0,4.0,7.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,1,1,1.0,13,13.0,10,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,8,clear,0,2,1.0,14,14.0,2,1,0,0,4.0,4.0
volter2014younger,1,kofi,6,m,chimpanzee,3,clear,2,1,1.0,16,15.0,18,1,1,0,4.0,-1.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,1.0,17,16.0,21,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,7,clear,0,2,0.0,18,17.0,1,1,0,0,4.0,3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,1,2,0.0,19,18.0,15,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,0.0,20,19.0,23,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,5,clear,1,1,1.0,21,20.0,11,1,1,0,4.0,1.0
volter2014younger,1,kofi,6,m,chimpanzee,2,clear,0,2,1.0,22,21.0,5,1,1,0,4.0,-2.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,0.0,23,22.0,6,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,1,0.0,24,23.0,17,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,0.0,25,24.0,8,1,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,6,clear,2,1,1.0,26,1.0,18,2,1,0,4.0,2.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,0.0,27,2.0,1,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,4,clear,1,1,1.0,28,3.0,11,2,1,0,4.0,0.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,1,0.0,29,4.0,20,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,1.0,30,5.0,5,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,1.0,31,6.0,24,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,2,clear,1,1,0.0,32,7.0,9,2,0,0,4.0,-2.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,0.0,33,8.0,22,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,2,clear,1,1,1.0,34,9.0,10,2,0,0,4.0,-2.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,1.0,35,10.0,2,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,1,2,0.0,36,11.0,14,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,1.0,37,12.0,3,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,0,2,0.0,38,13.0,6,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,2,0.0,39,14.0,23,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,1,2,1.0,40,15.0,16,2,1,1,4.0,-3.0
volter2014younger,1,kofi,6,m,chimpanzee,1,clear,2,1,1.0,41,16.0,19,2,1,1,4.0,-3.0
