study_id,experiment,experiment_name,participant,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,3.0,exp,l,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,4.0,con,r,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,5.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,6.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,7.0,con,l,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,8.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,9.0,base,l,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,10.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,11.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,1,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,2,1.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,fraukje,f,chimpanzee,2,2.0,con,r,1.0,correct
volter2014great,0,pilot_1,fraukje,f,chimpanzee,2,3.0,exp,l,0.0,incorrect
