study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_left_codes,food_on_right,food_on_right_codes,choice,choice_codes,success
call2004inferences,4,viringika,6.0,f,gorilla,32.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,33.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,viringika,6.0,f,gorilla,34.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,35.0,1.0,no,stirred_empty,yes,shaken_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,36.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,37.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,38.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,39.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,40.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,41.0,3.0,yes,stirred_baited,no,stirred_empty,2.0,left,0.0
call2004inferences,4,viringika,6.0,f,gorilla,42.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,43.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,44.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,45.0,2.0,no,shaken_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,46.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,viringika,6.0,f,gorilla,47.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,viringika,6.0,f,gorilla,48.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
