study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,yawn_baseline,yawn_experimental,nosewipe_baseline,nosewipe_experimental,scratch_baseline,scratch_experimental,wristshake_baseline,wristshake_experimental,handclose_baseline,handclose_experimental
amici2014response,1,task_1_imitation_1_human,2006,1,15,fifi,12,f,chimpanzee,scratching,0.0,0.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,fifi,12,f,chimpanzee,wrist_shaking,0.0,0.0,9.0,14.0,5.0,11.0,3.0,5.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,fifi,12,f,chimpanzee,wrist_shaking,0.0,0.0,14.0,20.0,6.0,13.0,3.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,13,fifi,12,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,16,fifi,12,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,fraukje,29,f,chimpanzee,hand_closing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,fraukje,29,f,chimpanzee,hand_closing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,fraukje,29,f,chimpanzee,nose_wiping,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,fraukje,29,f,chimpanzee,nose_wiping,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,fraukje,29,f,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,fraukje,29,f,chimpanzee,scratching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,24,fraukje,29,f,chimpanzee,wrist_shaking,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,24,fraukje,29,f,chimpanzee,wrist_shaking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,fraukje,29,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,fraukje,29,f,chimpanzee,yawning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,frodo,12,m,chimpanzee,hand_closing,0.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,3,1,frodo,12,m,chimpanzee,hand_closing,0.0,0.0,5.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,frodo,12,m,chimpanzee,nose_wiping,0.0,0.0,9.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,1,frodo,12,m,chimpanzee,nose_wiping,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,20,frodo,12,m,chimpanzee,scratching,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,20,frodo,12,m,chimpanzee,scratching,0.0,0.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,frodo,12,m,chimpanzee,wrist_shaking,0.0,0.0,13.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,3,frodo,12,m,chimpanzee,wrist_shaking,0.0,0.0,22.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,frodo,12,m,chimpanzee,yawning,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,26,frodo,12,m,chimpanzee,yawning,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,jahaga,13,f,chimpanzee,hand_closing,0.0,0.0,3.0,1.0,0.0,3.0,12.0,6.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,jahaga,13,f,chimpanzee,hand_closing,0.0,0.0,1.0,4.0,1.0,2.0,25.0,14.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,jahaga,13,f,chimpanzee,nose_wiping,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,jahaga,13,f,chimpanzee,nose_wiping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,jahaga,13,f,chimpanzee,scratching,0.0,0.0,2.0,3.0,3.0,18.0,7.0,9.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,jahaga,13,f,chimpanzee,scratching,0.0,0.0,3.0,4.0,12.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,20,jahaga,13,f,chimpanzee,wrist_shaking,0.0,0.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,22,jahaga,13,f,chimpanzee,wrist_shaking,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,13,jahaga,12,f,chimpanzee,yawning,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
