study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,17,kofi,6,m,chimpanzee,opaque,2,11,2,1,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,5,kofi,6,m,chimpanzee,opaque,2,12,0,2,1,0,0,1.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,22,kofi,6,m,chimpanzee,opaque,1,13,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,12,kofi,6,m,chimpanzee,opaque,15,14,1,1,0,0,0,1.0,9.0,5.0,0.0,0.0
volter2014cognitive,4,6,kofi,6,m,chimpanzee,opaque,3,15,0,2,0,1,0,1.0,0.0,2.0,1.0,0.0
volter2014cognitive,4,7,kofi,6,m,chimpanzee,opaque,5,16,0,2,1,0,0,1.0,0.0,4.0,3.0,1.0
volter2014cognitive,4,14,kofi,6,m,chimpanzee,opaque,3,17,1,2,0,0,0,1.0,2.0,0.0,0.0,0.0
volter2014cognitive,4,1,kofi,6,m,chimpanzee,opaque,1,18,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,18,kofi,6,m,chimpanzee,opaque,4,19,2,1,1,0,0,1.0,2.0,1.0,0.0,0.0
volter2014cognitive,4,23,kofi,6,m,chimpanzee,opaque,1,20,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,15,kofi,6,m,chimpanzee,opaque,2,22,1,2,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,21,kofi,6,m,chimpanzee,opaque,2,23,2,2,1,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,20,kofi,6,m,chimpanzee,opaque,3,24,2,1,0,1,0,1.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,16,kofi,6,m,chimpanzee,opaque,6,25,1,2,1,1,0,1.0,3.0,2.0,0.0,0.0
volter2014cognitive,4,17,kofi,6,m,chimpanzee,opaque_cued,5,1,2,1,0,0,0,2.0,3.0,1.0,0.0,0.0
volter2014cognitive,4,20,kofi,6,m,chimpanzee,opaque_cued,1,2,2,1,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,14,kofi,6,m,chimpanzee,opaque_cued,2,3,1,2,0,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,16,kofi,6,m,chimpanzee,opaque_cued,1,4,1,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,7,kofi,6,m,chimpanzee,opaque_cued,1,5,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,15,kofi,6,m,chimpanzee,opaque_cued,3,6,1,2,0,1,0,2.0,1.0,1.0,0.0,0.0
