study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014cognitive,3,20,dorien,30,f,chimpanzee,opaquecued,7,24,2,1,0,2.0,0,0,4.0,3.0
volter2014cognitive,3,18,fifi,18,f,chimpanzee,clear,1,1,2,1,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,2,fifi,18,f,chimpanzee,clear,1,2,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,13,fifi,18,f,chimpanzee,clear,8,3,1,2,1,1.0,0,0,4.0,4.0
volter2014cognitive,3,22,fifi,18,f,chimpanzee,clear,1,4,2,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,23,fifi,18,f,chimpanzee,clear,1,5,2,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,9,fifi,18,f,chimpanzee,clear,2,6,1,1,0,1.0,0,0,4.0,-2.0
volter2014cognitive,3,3,fifi,18,f,chimpanzee,clear,1,7,0,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,19,fifi,18,f,chimpanzee,clear,3,8,2,1,1,1.0,1,0,4.0,-1.0
volter2014cognitive,3,24,fifi,18,f,chimpanzee,clear,1,9,2,2,1,1.0,1,1,4.0,-3.0
volter2014cognitive,3,16,fifi,18,f,chimpanzee,clear,2,10,1,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,6,fifi,18,f,chimpanzee,clear,2,11,0,2,0,1.0,1,0,4.0,-2.0
volter2014cognitive,3,17,fifi,18,f,chimpanzee,clear,1,12,2,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,8,fifi,18,f,chimpanzee,clear,4,13,0,2,0,1.0,0,0,4.0,0.0
volter2014cognitive,3,12,fifi,18,f,chimpanzee,clear,1,14,1,1,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,1,fifi,18,f,chimpanzee,clear,1,15,0,2,0,1.0,1,1,4.0,-3.0
volter2014cognitive,3,5,fifi,18,f,chimpanzee,clear,2,16,0,2,1,1.0,0,0,4.0,-2.0
volter2014cognitive,3,10,fifi,18,f,chimpanzee,clear,14,17,1,1,1,1.0,0,0,4.0,10.0
volter2014cognitive,3,11,fifi,18,f,chimpanzee,clear,3,18,1,1,1,1.0,0,0,4.0,-1.0
